variable,source,description,camels,nan_rate
LNCONOTH,FTS,CONSUMER LOANS-OTHER,UNASSIGNED,0.0032
LNCONRP,FTS,CONSUMER LNS-RELATED PLANS,UNASSIGNED,0.0032
LNCONRPD,FTS,CONSUMER LNS-RELATED PLANS-DOM,UNASSIGNED,0.0032
LNCRCD,FTS,CONSUMER LOANS-CREDIT CARD PLAN,UNASSIGNED,0.0032
LNCRCDAC,FTS,CRCD LN HLD FOR INV AC,UNASSIGNED,0.3774
LNCRCDAL,FTS,CRCD LN HLD FOR INV ALLOW,UNASSIGNED,0.3774
LNCRCDDM,FTS,LNS-CREDIT CARDS -DOM,UNASSIGNED,0.0032
LNCRCDFE,FTS,CREDIT CARD FEES INCLD IN LNS,UNASSIGNED,0.0034
LNCRCDRP,FTS,LNS-CREDIT CD & RELATED PLAN,UNASSIGNED,0.0032
LNCRHAC,FTS,COMRE LN HLD FOR INV AC,UNASSIGNED,0.3774
LNCRHALL,FTS,COMRE LN HLD FOR INV ALLOW,UNASSIGNED,0.3774
LNDEP,FTS,DEP INSTITUTION LOANS,UNASSIGNED,0.0
LNDEPAC,FTS,TOTAL DEP INST LNS & ACCEPT,UNASSIGNED,0.0
LNDEPACD,FTS,TOTAL DEP INST LNS & ACCEPT-DOM,UNASSIGNED,0.0
LNDEPDOM,FTS,DEP INSTITUTION LOANS-DOM,UNASSIGNED,0.0
LNEXAMT,FTS,EXECUTIVE OFFICER LOANS-AMOUNT,UNASSIGNED,0.0032
LNEXNUM,FTS,EXECUTIVE OFFICER LOANS-NUMBER,UNASSIGNED,0.0032
LNFMHFST,FTS,1-4 FAM HFS OR TR-QTR,UNASSIGNED,0.0611
LNFMSDQ,FTS,1-4 FAM HFS OR TR-QTR,UNASSIGNED,0.0611
LNFXFL,FTS,TOTAL FIXED-FLOAT LOANS & LEASES,UNASSIGNED,0.0032
LNIAO0,FTS,LN HFI ALL OTHER - 0% RW,UNASSIGNED,0.0034
LNIAO100,FTS,LN HFI ALL OTHER - 100% RW,UNASSIGNED,0.0034
LNIAO150,FTS,LN HFI ALL OTHER - 150% RW,UNASSIGNED,0.0034
LNIAO2,FTS,LN HFI ALL OTHER - 2% RW,UNASSIGNED,0.1212
LNIAO20,FTS,LN HFI ALL OTHER - 20% RW,UNASSIGNED,0.0034
LNIAO4,FTS,LN HFI ALL OTHER - 4% RW,UNASSIGNED,0.1212
LNIAO50,FTS,LN HFI ALL OTHER - 50% RW,UNASSIGNED,0.0034
LNIAONRW,FTS,LN HFI ALL OTHER-ADJ TO COL A,UNASSIGNED,0.0034
LNIAOOEA,FTS,LN HFI ALL OTH-OTH APP-EXP AMT,UNASSIGNED,0.0034
LNIAOORW,FTS,LN HFI ALL OTH-OTH APP-RWA AMT,UNASSIGNED,0.0034
LNIAORCR,FTS,LN HFI ALL OTHER BS-RC-R COL A,UNASSIGNED,0.0034
LNIMPBAL,FTS,OUTSTAND BAL PURCH IMPAIRED LNS,UNASSIGNED,0.1786
LNIMPCAR,FTS,CARRYING AMT PURCH IMPAIRED LNS,UNASSIGNED,0.1786
LNIPD0,FTS,LN HFI PD/NA - 0% RW,UNASSIGNED,0.0034
LNIPD100,FTS,LN HFI PD/NA - 100% RW,UNASSIGNED,0.0034
LNIPD150,FTS,LN HFI PD/NA - 150% RW,UNASSIGNED,0.0034
LNIPD2,FTS,LN HFI PD/NA - 2% RW,UNASSIGNED,0.1212
LNIPD20,FTS,LN HFI PD/NA - 20% RW,UNASSIGNED,0.0034
LNIPD50,FTS,LN HFI PD/NA - 50% RW,UNASSIGNED,0.0034
LNIPDNRW,FTS,LN HFI PD/NA - ADJ TO COL A,UNASSIGNED,0.0034
LNIPDOEA,FTS,LN HFI PD/NA-OTH APP-EXP AMT,UNASSIGNED,0.0034
LNIPDORW,FTS,LN HFI PD/NA-OTH APP-RWA AMT,UNASSIGNED,0.0034
LNIPDRCR,FTS,LN HFI PD/NA BS - RC-R COL A,UNASSIGNED,0.0034
LNIRM0,FTS,LN HFI RES MTG - 0% RW,UNASSIGNED,0.0034
LNIRM100,FTS,LN HFI RES MTG - 100% RW,UNASSIGNED,0.0034
LNIRM20,FTS,LN HFI RES MTG - 20% RW,UNASSIGNED,0.0034
LNIRM50,FTS,LN HFI RES MTG - 50% RW,UNASSIGNED,0.0034
LNIRMNRW,FTS,LN HFI RES MTG - ADJ TO COL A,UNASSIGNED,0.0034
LNIRMOEA,FTS,LN HFI RES MTG-OTH APP-EXP AMT,UNASSIGNED,0.0034
LNIRMORW,FTS,LN HFI RES MTG-OTH APP-RWA AMT,UNASSIGNED,0.0034
LNIRMRCR,FTS,LN HFI RES MTG BS - RC-R COL A,UNASSIGNED,0.0034
LNIVC0,FTS,LN HFI HIGH VOLATILE CRE-0% RW,UNASSIGNED,0.0034
LNIVC100,FTS,LN HFI VOLATILE CRE-100% RW,UNASSIGNED,0.0034
LNIVC150,FTS,LN HFI VOL CRE BS - RC-R COL A,UNASSIGNED,0.0034
LNIVC20,FTS,LN HFI HIGH VOLATILE CRE-20% RW,UNASSIGNED,0.0034
LNIVC50,FTS,LN HFI HIGH VOLATILE CRE-50% RW,UNASSIGNED,0.0034
LNIVCNRW,FTS,LN HFI VOL CRE - ADJ TO COL A,UNASSIGNED,0.0034
LNIVCRCR,FTS,LN HFI VOL CRE BS - RC-R COL A,UNASSIGNED,0.0034
LNLS,FTS,LN&LS + UNEARNED INC,UNASSIGNED,0.0
LNLSADJ,FTS,ALLOW FOR LN&LS LOSS ADJUST,UNASSIGNED,0.0032
LNLSBEG,FTS,ALLOW FOR CREDIT LOSSES ON LN + LS-BEGIN BAL,UNASSIGNED,0.0032
LNLSDOM,FTS,LN&LS + UNEARNED INC-DOM,UNASSIGNED,0.0
LNLSGR,FTS,LOANS AND LEASES-TOTAL,UNASSIGNED,0.0
LNLSGRD,FTS,LOANS AND LEASES-TOTAL-DOM,UNASSIGNED,0.0
LNLSINNT,FTS,LN&LS NOT FOR SALE-NET OF L/L RS,UNASSIGNED,0.0032
LNLSINV,FTS,LNS & LS NOT HELD FOR SALE,UNASSIGNED,0.0032
LNLSLES1,FTS,LOANS LESS THAN 1 YEAR - TOTAL,UNASSIGNED,0.0032
LNLSNET,FTS,LOANS AND LEASES-NET,UNASSIGNED,0.0
LNLSRES,FTS,ALLOWANCE FOR CREDIT LOSSES ON LOAN AND LEASES,A,0.0032
LNLSRESZ,FTS,ALLOW FOR CREDIT LOSSES-DERIVED,UNASSIGNED,0.0032
LNLSSALE,FTS,LOANS & LEASES HELD FOR RESALE,UNASSIGNED,0.0032
LNMUNI,FTS,MUNI LOANS,UNASSIGNED,0.0032
LNMUNID,FTS,MUNI LOANS-DOM,UNASSIGNED,0.0032
LNNDEPD,FTS,LOANS TO NONDEP FINANCIAL INST-DOM,UNASSIGNED,0.0032
LNOT1T3,FTS,ALL OTHER LNS & LS * 1-3 YEARS,UNASSIGNED,0.0032
LNOT3LES,FTS,ALL OTHER LNS & LS*3 MO OR LESS,UNASSIGNED,0.0032
LNOT3T12,FTS,ALL OTHER LNS & LS * 3-12 MONS,UNASSIGNED,0.0032
LNOT3T5,FTS,ALL OTHER LNS & LS * 3-5 YEARS,UNASSIGNED,0.0032
LNOT5T15,FTS,ALL OTHER LNS & LS * 5-15 YEARS,UNASSIGNED,0.0032
LNOTHDOM,FTS,OTHER LOANS - DOM,UNASSIGNED,0.0032
LNOTHER,FTS,LN TO NONDEP FIN INST & OTH LN,UNASSIGNED,0.0
LNOTHERD,FTS,LN TO NONDEP FIN INST & OTH-DOM,UNASSIGNED,0.0
LNOTOV15,FTS,ALL OTHER LNS & LS * OVER 15 YRS,UNASSIGNED,0.0032
LNPLEDGE,FTS,PLEDGED LOANS AND LEASES,UNASSIGNED,0.0032
LNRE,FTS,RE LOANS,UNASSIGNED,0.0
LNREAG,FTS,RE AGRICULTURAL,UNASSIGNED,0.0
LNREAG1A,FTS,RE AGRICULTURAL-UNDER 100-$,UNASSIGNED,0.0025
LNREAG1B,FTS,RE AGRICULTURAL-UNDER 100-NUM,UNASSIGNED,0.0025
LNREAG1S,FTS,RE AGRICULTURAL-UNDER 100-NUM,UNASSIGNED,0.0138
LNREAG2A,FTS,RE AGRICULTURAL-100-250-$,UNASSIGNED,0.0025
LNREAG2B,FTS,RE AGRICULTURAL-100-250-NUM,UNASSIGNED,0.0025
LNREAG3A,FTS,RE AGRICULTURAL-250-500-$,UNASSIGNED,0.0025
LNREAG3B,FTS,RE AGRICULTURAL-250-500-NUM,UNASSIGNED,0.0025
LNRECIR,FTS,RE CONST & LAND INT RES-AMT,UNASSIGNED,0.0034
LNRECIRC,FTS,RE CONST & LAND INT RES-CAP,UNASSIGNED,0.0034
LNRECNFM,FTS,1-4 FAM RE CONSTRUCTION LOANS,UNASSIGNED,0.0032
LNRECNOT,FTS,OTHER RE CONSTRUCTION & LAND LN,UNASSIGNED,0.0032
LNRECONS,FTS,RE CONSTRUCTION & LAND DEVELOP,UNASSIGNED,0.0
LNREDOM,FTS,RE LOANS-DOM,UNASSIGNED,0.0
LNREFMFC,FTS,1-4 FAMILY LNS - FORECLOSURE,UNASSIGNED,0.0032
LNREFNAA,FTS,RE 1-4 FAM NEG AMORT - TOTAL AMT,UNASSIGNED,0.0034
LNREFNAC,FTS,RE 1-4 FAM NEG AMORT-CARRY AMT,UNASSIGNED,0.0034
LNREFNAM,FTS,RE 1-4 FAM NEG AMORT-MAX REM AMT,UNASSIGNED,0.0034
LNRELOC,FTS,RE 1-4 FAMILY-LINE,UNASSIGNED,0.0
LNREMULT,FTS,RE MULTIFAMILY,UNASSIGNED,0.0
LNRENR1A,FTS,RE NONFARM NONRES-UNDER 100-$,UNASSIGNED,0.0025
LNRENR1B,FTS,RE NONFARM NONRES-UNDER 100-NUM,UNASSIGNED,0.0025
LNRENR1S,FTS,RE NONFARM NONRES-UNDER 100-NUM,UNASSIGNED,0.0138
LNRENR2A,FTS,RE NONFARM NONRES-100-250-$,UNASSIGNED,0.0025
LNRENR2B,FTS,RE NONFARM NONRES-100-250-NUM,UNASSIGNED,0.0025
LNRENR3A,FTS,RE NONFARM NONRES-250-1M-$,UNASSIGNED,0.0025
LNRENR3B,FTS,RE NONFARM NONRES-250-1M-NUM,UNASSIGNED,0.0025
LNRENRES,FTS,RE NONFARM NONRESIDENTIAL PROP,UNASSIGNED,0.0
LNRENROT,FTS,OTHER NONFARM NONRES RE LNS,UNASSIGNED,0.0032
LNRENROW,FTS,OWNER-OCC NONFARM NONRES RE LNS,UNASSIGNED,0.0032
LNREOTH,FTS,RE 1-4 FAMILY-OTHER LOANS,UNASSIGNED,0.0
LNRERES,FTS,RE 1-4 FAMILY,UNASSIGNED,0.0
LNRERSF1,FTS,RE 1-4 FAMILY-FIRST LIENS-ADJUST,UNASSIGNED,0.0033
LNRERSF2,FTS,RE 1-4 FAMILY-SECOND LIENS,UNASSIGNED,0.0032
LNRERSFM,FTS,RE 1-4 FAMILY-FIRST LIENS,UNASSIGNED,0.0032
LNRESHAC,FTS,RESRE LN HLD FOR INV AC,UNASSIGNED,0.3774
LNRESHAL,FTS,RESRE LN HLD FOR INV ALLOW,UNASSIGNED,0.3774
LNRS1T3,FTS,RE 1-4 FAMILY * 1-3 YEARS,UNASSIGNED,0.0032
LNRS3LES,FTS,RE 1-4 FAMILY * 3 MONS OR LESS,UNASSIGNED,0.0032
LNRS3T12,FTS,RE 1-4 FAMILY * 3-12 MONTHS,UNASSIGNED,0.0032
LNRS3T5,FTS,RE 1-4 FAMILY * 3-5 YEARS,UNASSIGNED,0.0032
LNRS5T15,FTS,RE 1-4 FAMILY * 5-15 YEARS,UNASSIGNED,0.0032
LNRSOV15,FTS,RE 1-4 FAMILY * OVER 15 YEARS,UNASSIGNED,0.0032
LNSAO0,FTS,LN HFS ALL OTHER - 0% RW,UNASSIGNED,0.0034
LNSAO100,FTS,LN HFS ALL OTHER - 100% RW,UNASSIGNED,0.0034
LNSAO150,FTS,LN HFS ALL OTHER - 150% RW,UNASSIGNED,0.0034
LNSAO2,FTS,LN HFS ALL OTHER - 2% RW,UNASSIGNED,0.1212
LNSAO20,FTS,LN HFS ALL OTHER - 20% RW,UNASSIGNED,0.0034
LNSAO50,FTS,LN HFS ALL OTHER - 50% RW,UNASSIGNED,0.0034
LNSAONRW,FTS,LN HFS ALL OTHER-ADJ TO COL A,UNASSIGNED,0.0034
LNSAOOEA,FTS,LN HFS ALL OTH-OTH APP-EXP AMT,UNASSIGNED,0.0034
LNSAOORW,FTS,LN HFS ALL OTH-OTH APP-RWA AMT,UNASSIGNED,0.0034
LNSAORCR,FTS,LN HFS ALL OTHER BS-RC-R COL A,UNASSIGNED,0.0034
LNSBR0,FTS,SM. BUSINESS LNS SOLD - 0% RW,UNASSIGNED,0.0034
LNSBR100,FTS,SM. BUSINESS LNS SOLD - 100% RW,UNASSIGNED,0.0034
LNSBR20,FTS,SM. BUSINESS LNS SOLD - 20% RW,UNASSIGNED,0.0034
LNSBR50,FTS,SM. BUSINESS LNS SOLD - 50% RW,UNASSIGNED,0.0034
LNSBRCEA,FTS,SM. BUSINESS LNS SOLD - C.E. AMT,UNASSIGNED,0.0034
LNSBRRCR,FTS,SM BUSINESS LNS SOLD-RC-R COL A,UNASSIGNED,0.0034
LNSPD0,FTS,LN HFS PD/NA - 0% RW,UNASSIGNED,0.0034
LNSPD100,FTS,LN HFS PD/NA - 100% RW,UNASSIGNED,0.0034
LNSPD150,FTS,LN HFS PD/NA - 150% RW,UNASSIGNED,0.0034
LNSPD20,FTS,LN HFS PD/NA - 20% RW,UNASSIGNED,0.0034
LNSPD50,FTS,LN HFS PD/NA - 50% RW,UNASSIGNED,0.0034
LNSPDNRW,FTS,LN HFS PD/NA - ADJ TO COL A,UNASSIGNED,0.0034
LNSPDRCR,FTS,LN HFS PD/NA BS - RC-R COL A,UNASSIGNED,0.0034
LNSRM0,FTS,LN HFS RES MTG - 0% RW,UNASSIGNED,0.0034
LNSRM100,FTS,LN HFS RES MTG - 100% RW,UNASSIGNED,0.0034
LNSRM20,FTS,LN HFS RES MTG - 20% RW,UNASSIGNED,0.0034
LNSRM50,FTS,LN HFS RES MTG - 50% RW,UNASSIGNED,0.0034
LNSRMNRW,FTS,LN HFS RES MTG - ADJ TO COL A,UNASSIGNED,0.0034
LNSRMOEA,FTS,LN HFS RES MTG-OTH APP-EXP AMT,UNASSIGNED,0.0034
LNSRMORW,FTS,LN HFS RES MTG-OTH APP-RWA AMT,UNASSIGNED,0.0034
LNSRMRCR,FTS,LN HFS RES MTG BS - RC-R COL A,UNASSIGNED,0.0034
LNSVC0,FTS,LN HFS HIGH VOLATILE CRE-0% RW,UNASSIGNED,0.0034
LNSVC100,FTS,LN HFS VOLATILE CRE-100% RW,UNASSIGNED,0.0034
LNSVC150,FTS,LN HFS VOLATILE CRE-150% RW,UNASSIGNED,0.0034
LNSVC20,FTS,LN HFS HIGH VOLATILE CRE-20% RW,UNASSIGNED,0.0034
LNSVC50,FTS,LN HFS HIGH VOLATILE CRE-50% RW,UNASSIGNED,0.0034
LNSVCNRW,FTS,LN HFS VOL CRE - ADJ TO COL A,UNASSIGNED,0.0034
LNSVCRCR,FTS,LN HFS VOL CRE BS - RC-R COL A,UNASSIGNED,0.0034
LNTOTHAC,FTS,TOT LN HLD FOR INV AC,UNASSIGNED,0.3774
LNTOTHAL,FTS,TOTAL LN HLD FOR INV ALLOW,UNASSIGNED,0.3774
LNUAHALL,FTS,UNALLOC LN HLD FOR INV ALLOW,UNASSIGNED,0.3774
LOCCM0,FTS,COMMERCIAL LOC - 0% RW,UNASSIGNED,0.0034
LOCCM100,FTS,COMMERCIAL LOC - 100% RW,UNASSIGNED,0.0034
LOCCM150,FTS,COMMERCIAL LOC - 150% RW,UNASSIGNED,0.0034
LOCCM2,FTS,COMMERCIAL LOC - 2% RW,UNASSIGNED,0.1212
LOCCM20,FTS,COMMERCIAL LOC - 20% RW,UNASSIGNED,0.0034
LOCCM4,FTS,COMMERCIAL LOC - 4% RW,UNASSIGNED,0.1212
LOCCM50,FTS,COMMERCIAL LOC - 50% RW,UNASSIGNED,0.0034
LOCCMCEA,FTS,COMMERCIAL LOC - C.E. AMOUNT,UNASSIGNED,0.0034
LOCCMRCR,FTS,COMMERCIAL LOC - RC-R COL A,UNASSIGNED,0.0034
LOCCOM,FTS,COMMERCIAL LETTERS OF CREDIT,UNASSIGNED,0.0
LOCFPNT,FTS,FIN & PERFORM STANDBY LOC-NET,UNASSIGNED,0.0
LOCFPSB,FTS,FIN & PERFORM STANDBY LOC,UNASSIGNED,0.0
LOCFS0,FTS,FIN STANDBY LOC - 0% RW,UNASSIGNED,0.0034
LOCFS100,FTS,FIN STANDBY LOC - 100% RW,UNASSIGNED,0.0034
LOCFS150,FTS,FIN STANDBY LOC - 150% RW,UNASSIGNED,0.0034
LOCFS2,FTS,FIN STANDBY LOC - 2% RW,UNASSIGNED,0.1212
LOCFS20,FTS,FIN STANDBY LOC - 20% RW,UNASSIGNED,0.0034
LOCFS4,FTS,FIN STANDBY LOC - 4% RW,UNASSIGNED,0.1212
LOCFS50,FTS,FIN STANDBY LOC - 50% RW,UNASSIGNED,0.0034
LOCFSB,FTS,FINANCIAL STANDBY LOC,UNASSIGNED,0.0032
LOCFSCEA,FTS,FIN. STANDBY LOC - C.E. AMOUNT,UNASSIGNED,0.0034
LOCFSRCR,FTS,FIN. STANDBY LOC - RC-R,UNASSIGNED,0.0034
LOCPS0,FTS,PER. STANDBY LOC - 0% RW,UNASSIGNED,0.0034
LOCPS100,FTS,PER. STANDBY LOC - 100% RW,UNASSIGNED,0.0034
LOCPS150,FTS,PER. STANDBY LOC - 150% RW,UNASSIGNED,0.0034
LOCPS20,FTS,PER. STANDBY LOC - 20% RW,UNASSIGNED,0.0034
LOCPS50,FTS,PER. STANDBY LOC - 50% RW,UNASSIGNED,0.0034
LOCPSB,FTS,PERFORMANCE STANDBY LOC,UNASSIGNED,0.0032
LOCPSCEA,FTS,PER. STANDBY LOC - C.E. AMOUNT,UNASSIGNED,0.0034
LOCPSRCR,FTS,PER. STANDBY LOC - RC-R COL A,UNASSIGNED,0.0034
LOREGTY,FTS,ORE PROTECTED - LOSS SHARE,UNASSIGNED,0.169
LS,FTS,LEASES,UNASSIGNED,0.0
LSALNLS,FTS,CARRY AMT LOSS SHARE-LNLS,UNASSIGNED,0.2238
LSAORE,FTS,CARRY AMT LOSS SHARE- ORE,UNASSIGNED,0.2238
LSDOM,FTS,LEASES-DOM,UNASSIGNED,0.0
LTUDBTHD,FTS,HOLD LT UNSEC DBT ISS FDIC INST,UNASSIGNED,0.0
MCRCDACQ,FTS,MERCHANT CRCD SALES-AQUIRE BK,UNASSIGNED,0.0034
MCRCDAGT,FTS,MERCHANT CRCD SALES-AGENT BANK,UNASSIGNED,0.0034
MERGESIG,FTS,MERGER SIGNIFICANCE FLAG,UNASSIGNED,0.0
MUTUAL,FTS,MUTUAL SAVINGS FLAG,UNASSIGNED,0.0
NAAGSM,FTS,NONACCRUAL-AG LNS*SMALL BKS,UNASSIGNED,0.0186
NAASSET,FTS,NONACCRUAL-TOTAL ASSETS,UNASSIGNED,0.0
NAASTADQ,FTS,NONACCRUAL ASSETS ADDED,UNASSIGNED,0.0034
NAASTSDQ,FTS,NONACCRUAL ASSETS SOLD,UNASSIGNED,0.0034
NAAUTO,FTS,NONACCRUAL AUTO LOANS,UNASSIGNED,0.0032
NACI,FTS,NONACCRUAL-C&I LOANS,UNASSIGNED,0.0032
NACIUS,FTS,NONACCRUAL-C&I*U.S.,UNASSIGNED,0.0
NACOMRE,FTS,NONACCRUAL-COMMERCIAL RE,UNASSIGNED,0.0032
NACON,FTS,NONACCRUAL-CONSUMER LOANS,UNASSIGNED,0.0032
NACONOTH,FTS,NONACCRUAL-OTHER CONSUMER,UNASSIGNED,0.0032
NACRCD,FTS,NONACCRUAL-CREDIT CARD PLANS,UNASSIGNED,0.0032
NADEP,FTS,NONACCRUAL-DEP INST LOANS,UNASSIGNED,0.0032
NADEPUS,FTS,NONACCRUAL-DEP INST*U.S.,UNASSIGNED,0.0032
NAGTY,FTS,NONACCRUAL-GTY LN&LS,UNASSIGNED,0.0032
NAGTYGNM,FTS,NONACCRUAL REBOOKED GNMA LOANS,UNASSIGNED,0.0032
NAGTYPAR,FTS,NONACCRUAL-PART GTY LN&LS,UNASSIGNED,0.0032
NALGTY,FTS,NONACCR PROTECT (GTY)-LOSS SH,UNASSIGNED,0.0032
NALNIMPB,FTS,NONACCR OUTSTND BAL PUR IMP LN,UNASSIGNED,0.1786
NALNIMPC,FTS,NONACCRUAL CARRY AMT PUR IMP LN,UNASSIGNED,0.1786
NALNLS,FTS,NONACCRUAL-LOANS & LEASES,UNASSIGNED,0.0
NALNSALE,FTS,NONACCRUAL-L&L HELD FOR SALE,UNASSIGNED,0.0033
NALS,FTS,NONACCRUAL-LEASES,UNASSIGNED,0.0032
NAOTHLN,FTS,NONACCRUAL-ALL OTHER LOANS,UNASSIGNED,0.0032
NARE,FTS,NONACCRUAL-REAL ESTATE LOANS,UNASSIGNED,0.0032
NAREAG,FTS,NONACCRUAL-RE*FARMLAND,UNASSIGNED,0.0032
NARECNFM,FTS,NONACCRUAL 1-4 FAM CONSTRUCT LN,UNASSIGNED,0.0032
NARECNOT,FTS,NONACCRUAL OTHER CONSTR & LAND,UNASSIGNED,0.0032
NARECONS,FTS,NONACCRUAL-RE*CONSTRUCTION,UNASSIGNED,0.0032
NARELOC,FTS,NONACCRUAL-RE*1-4 FAM LINES,UNASSIGNED,0.0032
NAREMULT,FTS,NONACCRUAL-RE*MULTIFAMILY,UNASSIGNED,0.0032
NARENRES,FTS,NONACCRUAL-RE*NONFARM NONRES,UNASSIGNED,0.0032
NARENROT,FTS,NONACCRUAL OTHER NONFARM NONRES,UNASSIGNED,0.0032
NARENROW,FTS,NONACCRUAL 0WN-OCC NONFRM NONRS,UNASSIGNED,0.0032
NARERES,FTS,NONACCRUAL-RE*1-4 FAMILY,UNASSIGNED,0.0032
NARERESO,FTS,NONACCRUAL-RE*1-4 FAM OTHER,UNASSIGNED,0.0032
NARERSF2,FTS,NONACCRUAL-RE*1-4 JUNIOR LIEN,UNASSIGNED,0.0032
NARERSFM,FTS,NONACCRUAL-RE*1-4 IST LIEN,UNASSIGNED,0.0032
NAREUS,FTS,NONACCRUAL-RE*U.S.,UNASSIGNED,0.0
NARSAGSM,FTS,NONAC LN MODS TO BRWRS EXP FIN DFCLTY AG LN SM BK,UNASSIGNED,0.0186
NARSAUTO,FTS,NONAC LN MODS TO BRWRS EXP FIN DFCLTY AUTO,UNASSIGNED,0.0033
NARSCI,FTS,NONAC LN MODS TO BRWRS EXP FIN DFCLTY C&I LN,UNASSIGNED,0.0033
NARSCIUS,FTS,NONAC LN MODS TO BRWRS EXP FIN DFCLTY C&I-US,UNASSIGNED,0.0033
NARSCNFM,FTS,NONAC LN MODS TO BRWRS EXP FIN DFCLTY 1-4 FM CONST,UNASSIGNED,0.0033
NARSCNOT,FTS,NONAC LN MODS BRWRS EXP FIN DFCLTY - OTH CONST&LND,UNASSIGNED,0.0033
NARSCONO,FTS,NONAC LN MODS TO BRWRS EXP FIN DFCLTY OTH CONSUMER,UNASSIGNED,0.0033
NARSCRCD,FTS,NONAC LN MODS TO BRWRS EXP FIN DFCLTY CR CARD,UNASSIGNED,0.0033
NARSLNFM,FTS,NONAC LN MODS TO BRWRS EXP FIN DFCLTY LN-1-4 FAM,UNASSIGNED,0.0033
NARSLNLS,FTS,NONACCRUAL RESTRU LN EXCL 1-4 FM,UNASSIGNED,0.0033
NARSLNTL,FTS,NONAC LN MODS TO BRWRS EXP FIN DFCLTY LN-TOT,UNASSIGNED,0.1211
NARSMULT,FTS,NONAC LN MODS TO BRWRS EXP FIN DFCLTY MULTIFAMILY,UNASSIGNED,0.0033
NARSNROT,FTS,NONAC LN MODS TO BRWRS EXP FIN DFCLTY OTHER NFNR,UNASSIGNED,0.0033
NARSNROW,FTS,NONAC LN MODS BRWRS EXP FIN DFCLTY - NFNR OWN-OCC,UNASSIGNED,0.0033
NARSOTH,FTS,NONAC LN MODS TO BRWRS EXP FIN DFCLTY ALL OTH LN,UNASSIGNED,0.0033
NARSREAG,FTS,NONAC LN MODS TO BRWRS EXP FIN DFCLTY RE FARM,UNASSIGNED,0.0033
NASCDEBT,FTS,NONACCRUAL-DEBT SECURITIES,S,0.0032
NCAGSM,FTS,TOTAL N/C-AG LNS*SMALL BKS,UNASSIGNED,0.0186
NCASSET,FTS,TOTAL N/C-TOTAL ASSETS,UNASSIGNED,0.0
NCCI,FTS,TOTAL N/C-C&I LOANS,UNASSIGNED,0.0032
NCCIUS,FTS,TOTAL N/C-C&I*U.S.,UNASSIGNED,0.0
NCCOMRE,FTS,TOTAL N/C-COMMERCIAL RE,UNASSIGNED,0.0032
NCCON,FTS,TOTAL N/C-CONSUMER LOANS,UNASSIGNED,0.0032
NCCONOTH,FTS,TOTAL N/C-OTHER CONSUMER,UNASSIGNED,0.0032
NCCRCD,FTS,TOTAL N/C CREDIT CARD PLANS,UNASSIGNED,0.0032
NCDEP,FTS,TOTAL N/C-DEP INST LOANS,UNASSIGNED,0.0032
NCDEPUS,FTS,TOTAL N/C-DEP INST*U.S.,UNASSIGNED,0.0032
NCGTY,FTS,TOTAL N/C-GTY LN&LS,UNASSIGNED,0.0032
NCGTYGNM,FTS,NONCURRENT REBOOKED GNMA LNS,A,0.0032
NCGTYPAR,FTS,TOTAL N/C-PART GTY LN&LS,UNASSIGNED,0.0032
NCLNLS,FTS,TOTAL N/C-LOANS & LEASES,UNASSIGNED,0.0
NCLNSALE,FTS,N/C LN&LS HELD FOR SALE,UNASSIGNED,0.0033
NCLS,FTS,TOTAL N/C-LEASES,UNASSIGNED,0.0032
NCOTHLN,FTS,TOTAL N/C-ALL OTHER LOANS,UNASSIGNED,0.0032
NCRE,FTS,TOTAL N/C-REAL ESTATE LOANS,UNASSIGNED,0.0032
NCREAG,FTS,TOTAL N/C-RE*FARMLAND,UNASSIGNED,0.0032
NCRECONS,FTS,TOTAL N/C-RE*CONSTRUCTION,UNASSIGNED,0.0032
NCRELOC,FTS,TOTAL N/C-RE*1-4 FAM LINES,UNASSIGNED,0.0032
NCREMULT,FTS,TOTAL N/C-RE*MULTIFAMILY,UNASSIGNED,0.0032
NCRENRES,FTS,TOTAL N/C-RE*NONFARM NONRES,UNASSIGNED,0.0032
NCRERES,FTS,TOTAL N/C-RE*1-4 FAMILY,UNASSIGNED,0.0032
NCRERESO,FTS,TOTAL N/C-RE*1-4 FAM OTHER,UNASSIGNED,0.0032
NCRERSF2,FTS,N/C RE 1-4 FAM JUNIOR LIEN,UNASSIGNED,0.0032
NCRERSFM,FTS,N/C RE 1-4 FAM FIRST LIEN,UNASSIGNED,0.0032
NCREUS,FTS,TOTAL N/C-RE*U.S.,UNASSIGNED,0.0
NCRSLNLS,FTS,NC RESTRUCT LOANS EXCL 1-4 FM,UNASSIGNED,0.0033
NCRSLNTL,FTS,NC RESTRUCTURED LOANS-TOTAL,UNASSIGNED,0.1211
NCSCDEBT,FTS,TOTAL N/C-DEBT SECURITIES,S,0.0032
NETGNAST,FTS,NET G/L ON SALES OF FIX ASSETS,UNASSIGNED,0.0032
NETGNSLN,FTS,NET G/L ON SALES OF LOANS,UNASSIGNED,0.0032
NETGNSRE,FTS,NET G/L ON OTHER RE OWNED,UNASSIGNED,0.0032
NETIMIN,FTS,NET INC - ATTRIB TO MINORITY INT,UNASSIGNED,0.0032
NETINBM,FTS,NET INC - BANK & MINORITY INT,UNASSIGNED,0.0032
NETINC,FTS,NET INCOME - BANK,E,0.0032
